,name,sold,rating,price,city
126,TOTE BAG LAPTOP ENIGMA TAS SELEMPANG MULTIFUNGSI PRIA WANITA HEYLOOK - BLACK,,,119000,
127,Jims Honey - Kindy Bag - Mini Bag - Sling Bag - Tas Selempang Wanita - Khaki,100.0,5.0,120000,Jakarta Utara
128,Tas Selempang kangguru Kunci Persegi kecil wanita modis tas bahu - Putih,40.0,5.0,57500,Kota Bandung
129,TAS SELEMPANG WANITA IMPORT CHIBAO BORDIR 5Slet CB071 - Hitam,100.0,4.9,82000,Jakarta Barat
130,TAS SELEMPANG WANITA ORI CHIBAO KANVAS BORDIR 5Sleting CB0071-22 - Maroon,70.0,5.0,82000,Jakarta Barat
131,tas hp selempang wanita/Tas Rajut Macrame/ phone bag Macrame/Tas murah - Natural white,60.0,5.0,49900,Kota Tangerang
132,SLP079 - TAS DOMPET SELEMPANG KULIT HP WANITA SLING BAG HANDPHONE - BLACK,250.0,4.9,29900,Jakarta Barat
133,SL124 SUOYATE - TAS SELEMPANG BESAR WANITA SLING BAG NILON - BLACK,50.0,5.0,117900,Jakarta Barat
134,Tas Selempang Bahu Hand Bag Wanita Import Fashion Korea Terbaru TG07 - TG07-HITAM,10.0,5.0,58000,Jakarta Barat
135,Coach Waistbag Fanny Pack Original Tas Dada Tas Selempang Pria Wanita,90.0,4.9,625500,Kota Tangerang
136,"Knot bag jepang, tas kosmetik, tas wanita, tas jinjing",100.0,4.9,18000,Kota Tangerang
137,Tote Bag Tas wanita besar Mary Kate Magnetic Button Black Beauty Gum,90.0,4.9,89000,Jakarta Barat
138,Tas Wanita Selempang Denim A902A 220419 Naughty Accessories - NAVY,30.0,4.9,139900,Jakarta Utara
139,Tas Wanita Korea Bulu Telinga Kelinci Tas Lembut Lucu Korea Style Unik - Dusty Pink,10.0,4.9,62500,Jakarta Utara
140,Tas Selempang Wanita Phillipe Jourdan Wanita Aurora Coklat (Canvas),100.0,4.9,299000,Jakarta Barat
141,TAS WANITA NAGITA CEVRON PREMIUM FREE BOX & PAPERBAG - Pink,6.0,5.0,160000,Jakarta Pusat
142,TAS SELEMPANG WANITA ORI CHIBAO KANVAS CB1991 6Sleting - Kuning,14.0,5.0,90000,Jakarta Barat
143,HARUICA BAG 80124 - tas selempang wanita import - Navy,25.0,5.0,128000,Kota Tangerang
144,Tas Slempang Kipling Mini Wanita/Pria,500.0,4.8,55000,Jakarta Barat
145,Tas Selempang Pria Zigzag Pouch - Tas Slingbag Pria Wanita - Black - Hitam,3000.0,4.8,38000,
146,Tas Selempang Bahu Wanita Import Fashion Korea Terbaru Kekinian TG06 - TG06-PUTIH KREM,50.0,4.9,69000,Jakarta Barat
147,SAENA BAG - TAS SELEMPANG WANITA BAHAN NYLON KUALITAS IMPORT TERBARU - Khaki,40.0,4.4,65000,Kota Bandung
148,TAS JELLY GLOSSY RANTAI CINCIN SIZE 18 CM | TAS WANITA RANTAI CINCIN - Maroon,750.0,4.8,25000,Jakarta Pusat
149,Tas selempang eiger waterproof/tas pria dan wanita,100.0,4.9,45000,Kota Surabaya
150,david jones tas bahu tangan selempang wanita original - red,80.0,5.0,185000,Jakarta Barat
151,Totebag Wanita Laptop Waterproof - Tote Bag Kuliah Besar Cewek Korea - Hijau Tua,70.0,4.9,179000,Jakarta Utara
152,TAS WANITA IMPORT BRANDED BAHAN LEATHER SEMI PREMIUM,2.0,5.0,470000,Jakarta Utara
153,Jims Honey - Whitney Bag - Sling Bag - Tas Selempang Wanita - Fuschia,50.0,4.8,180000,Jakarta Utara
154,Tas Hp Wanita Slingbag Monogram Damier / Tas Handphone Wanita - PREMIUM LV,100.0,4.7,24499,Kota Bekasi
155,Les Femmes Sling Bag Tas Selempang Wanita E645 210829 - PINK,80.0,4.8,99900,Jakarta Utara
156,Tas Tangan Wanita/Tas Etnik/Tas Bahan Kain Kanvas Motif Owl - umbrella owl,500.0,4.8,33250,Jakarta Barat
157,TAS SELEMPANG WANITA PESTA KECIL KULIT HITAM ROLINDA TA617B5 IMPORT,50.0,4.8,109900,Kota Tangerang
158,Phillipe Jourdan Velvet Tas Selempang Wanita Hitam (Canvas),40.0,4.9,359700,Jakarta Barat
159,"Tas Kulit Asli Garut Wanita - maroon, S",8.0,5.0,165000,Kab. Garut
