title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
Shingeki no Kyojin Season 3,76,8.62,18,2125490,TV,12,Finished Airing,"Jul 23, 2018 to Oct 15, 2018",Summer 2018,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",Funimation,Wit Studio,Manga,"['Action', 'Drama']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),19235

Koe no Katachi,18,8.94,19,2115909,Movie,1,Finished Airing,"Sep 17, 2016",nan,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']",Eleven Arts,Kyoto Animation,Manga,"['Award Winning', 'Drama']",Romantic Subtext,Shounen,2 hr. 10 min.,PG-13 - Teens 13 or older,81002

Code Geass: Hangyaku no Lelouch,52,8.70,20,2097535,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']",Funimation,Sunrise,Original,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),103280

One Piece,56,8.68,21,2079426,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,"['Fuji TV', 'TAP', 'Shueisha']",Funimation,Toei Animation,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min.,PG-13 - Teens 13 or older,188287

Toradora!,469,8.09,22,2073236,TV,25,Finished Airing,"Oct 2, 2008 to Mar 26, 2009",Fall 2008,"['Genco', 'Starchild Records', 'Magic Capsule', 'Yomiuri Advertising', 'TV Tokyo Music']","NIS America, Inc.",J.C.Staff,novel,"['Drama', 'Romance']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,54895

Shigatsu wa Kimi no Uso,67,8.65,23,2051259,TV,22,Finished Airing,"Oct 10, 2014 to Mar 20, 2015",Fall 2014,"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",Aniplex of America,A-1 Pictures,Manga,"['Drama', 'Romance']",nan,Shounen,22 min. per ep.,PG-13 - Teens 13 or older,81918

Re:Zero kara Hajimeru Isekai Seikatsu,295,8.24,24,2034118,TV,25,Finished Airing,"Apr 4, 2016 to Sep 19, 2016",Spring 2016,"['TV Tokyo', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Memory-Tech', 'Hakuhodo DY Music & Pictures']",Funimation,White Fox,novel,"['Drama', 'Fantasy', 'Suspense']",nan,nan,25 min. per ep.,R - 17+ (violence & profanity),63363

