title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
Charlotte,1015,7.75,65,1494236,TV,13,Finished Airing,"Jul 5, 2015 to Sep 27, 2015",Summer 2015,"['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Visual Arts', 'ASCII Media Works', 'Tokyo MX', 'BS11']",Aniplex of America,P.A. Works,Original,[],nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,21652

Black Clover,410,8.14,66,1484971,TV,170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",Fall 2017,"['TV Tokyo', 'Avex Pictures', 'Shueisha']",Funimation,Pierrot,Manga,"['Action', 'Comedy', 'Fantasy']",nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,41702

Hataraku Maou-sama!,1008,7.76,67,1470060,TV,13,Finished Airing,"Apr 4, 2013 to Jun 27, 2013",Spring 2013,"['Sotsu', 'Lantis', 'Pony Canyon', 'Magic Capsule', 'KlockWorx', 'ASCII Media Works', 'Showgate', 'Infinite']",Funimation,White Fox,novel,"['Comedy', 'Fantasy']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,10877

Overlord,692,7.92,68,1464941,TV,13,Finished Airing,"Jul 7, 2015 to Sep 29, 2015",Summer 2015,"['AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa']",Funimation,Madhouse,novel,"['Action', 'Adventure', 'Fantasy']",Isekai,nan,24 min. per ep.,R - 17+ (violence & profanity),24388

Tate no Yuusha no Nariagari,599,7.99,69,1449000,TV,25,Finished Airing,"Jan 9, 2019 to Jun 26, 2019",Winter 2019,"['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa']",Funimation,Kinema Citrus,novel,"['Action', 'Adventure', 'Drama', 'Fantasy']",Isekai,nan,24 min. per ep.,PG-13 - Teens 13 or older,25335

Elfen Lied,1744,7.49,70,1435289,TV,13,Finished Airing,"Jul 25, 2004 to Oct 17, 2004",Summer 2004,"['VAP', 'Genco', 'Studio Guts']",ADV Films,Arms,Manga,"['Action', 'Drama', 'Horror', 'Romance', 'Supernatural']",nan,Seinen,25 min. per ep.,R+ - Mild Nudity,23213

Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1565,7.55,71,1428401,TV,13,Finished Airing,"Apr 4, 2015 to Jun 27, 2015",Spring 2015,"['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'Showgate', 'MAGES.', 'FuRyu']",Sentai Filmworks,J.C.Staff,novel,"['Action', 'Adventure', 'Fantasy']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,11263

Highschool of the Dead,3698,7.08,72,1419090,TV,12,Finished Airing,"Jul 5, 2010 to Sep 20, 2010",Summer 2010,"['Geneon Universal Entertainment', 'AT-X', 'Showgate']",Sentai Filmworks,Madhouse,Manga,"['Action', 'Horror', 'Supernatural', 'Ecchi']",nan,Shounen,24 min. per ep.,R+ - Mild Nudity,9689

Fate/Zero,255,8.28,73,1417111,TV,13,Finished Airing,"Oct 2, 2011 to Dec 25, 2011",Fall 2011,"['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes']",Aniplex of America,ufotable,novel,"['Action', 'Fantasy', 'Supernatural']",nan,nan,28 min. per ep.,R - 17+ (violence & profanity),32760

Fullmetal Alchemist,429,8.12,74,1401381,TV,51,Finished Airing,"Oct 4, 2003 to Oct 2, 2004",Fall 2003,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']",Funimation,Bones,Manga,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",Military,Shounen,24 min. per ep.,R - 17+ (violence & profanity),25178

Kono Subarashii Sekai ni Shukufuku wo! 2,270,8.27,75,1394361,TV,10,Finished Airing,"Jan 12, 2017 to Mar 16, 2017",Winter 2017,"['Kadokawa Shoten', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House']",Discotek Media,Studio Deen,novel,"['Adventure', 'Comedy', 'Fantasy']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,11556

Mob Psycho 100 II,31,8.80,76,1373686,TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",Funimation,Bones,manga,"['Action', 'Comedy', 'Supernatural']",Super Power,nan,24 min. per ep.,PG-13 - Teens 13 or older,31056

Noragami Aragoto,384,8.16,77,1371755,TV,13,Finished Airing,"Oct 3, 2015 to Dec 26, 2015",Fall 2015,"['Dentsu', 'Shochiku', 'Kodansha', 'Ai Addiction', 'Avex Pictures', 'A-Sketch']",Funimation,Bones,Manga,"['Action', 'Fantasy']",Mythology,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,11357

Kakegurui,2806,7.25,78,1366903,TV,12,Finished Airing,"Jul 1, 2017 to Sep 23, 2017",Summer 2017,"['Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'KlockWorx', 'DIVE II Entertainment', '81 Produce', 'Avex Pictures', 'FuRyu']",Sentai Filmworks,MAPPA,Manga,"['Drama', 'Mystery']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),10395

Clannad,582,8.00,79,1346742,TV,23,Finished Airing,"Oct 5, 2007 to Mar 28, 2008",Fall 2007,"['Pony Canyon', 'TBS', 'Movic', 'Animation Do']",Sentai Filmworks,Kyoto Animation,novel,"['Drama', 'Romance', 'Supernatural']",School,nan,24 min. per ep.,PG-13 - Teens 13 or older,26950

High School DxD,2348,7.34,80,1338812,TV,12,Finished Airing,"Jan 6, 2012 to Mar 23, 2012",Winter 2012,"['Genco', 'Lantis', 'AT-X', 'PRA', 'Showgate', 'Atelier Musa', 'Fujimi Shobo']",Funimation,TNK,novel,"['Comedy', 'Romance', 'Ecchi']",nan,nan,24 min. per ep.,R+ - Mild Nudity,21570

Durarara!!,447,8.11,81,1338013,TV,24,Finished Airing,"Jan 8, 2010 to Jun 25, 2010",Winter 2010,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'ASCII Media Works', 'Sakura Create']",Aniplex of America,Brain's Base,novel,"['Action', 'Mystery', 'Supernatural']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),29561

Yahari Ore no Seishun Love Comedy wa Machigatteiru.,576,8.01,82,1334534,TV,13,Finished Airing,"Apr 5, 2013 to Jun 28, 2013",Spring 2013,"['Geneon Universal Entertainment', 'TBS', 'Delfi Sound', 'Marvelous AQL', 'Atelier Musa']",Sentai Filmworks,Brain's Base,novel,"['Comedy', 'Romance']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,27331

Bakemonogatari,209,8.33,83,1330537,TV,15,Finished Airing,"Jul 3, 2009 to Jun 25, 2010",Summer 2009,"['Aniplex', 'Kodansha']",Aniplex of America,Shaft,novel,"['Mystery', 'Romance', 'Supernatural']",Vampire,nan,25 min. per ep.,R - 17+ (violence & profanity),47437

Haikyuu!! Second Season,70,8.64,84,1321839,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",Fall 2015,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Sentai Filmworks,Production I.G,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,15347

Ansatsu Kyoushitsu 2nd Season,123,8.50,85,1319771,TV,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",Winter 2016,"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'Avex Pictures', 'Shueisha', 'Kansai Telecasting']",Funimation,Lerche,Manga,"['Action', 'Comedy']",School,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,17101

Kimetsu no Yaiba Movie: Mugen Ressha-hen,72,8.63,86,1310182,Movie,1,Finished Airing,"Oct 16, 2020",nan,"['Aniplex', 'Shueisha']",Aniplex of America,ufotable,Manga,"['Action', 'Fantasy']",Historical,Shounen,1 hr. 56 min.,R - 17+ (violence & profanity),12364

Hyouka,481,8.08,87,1282148,TV,22,Finished Airing,"Apr 23, 2012 to Sep 17, 2012",Spring 2012,"['Lantis', 'Kadokawa Shoten', 'KlockWorx', 'chara-ani.com', 'Animation Do']",Funimation,Kyoto Animation,Novel,"['Mystery', 'Slice of Life']",School,nan,25 min. per ep.,PG-13 - Teens 13 or older,25826

Tensei shitara Slime Datta Ken,420,8.14,88,1281791,TV,24,Finished Airing,"Oct 2, 2018 to Mar 19, 2019",Fall 2018,"['Lantis', 'Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing']",Funimation,8bit,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,26381

Chuunibyou demo Koi ga Shitai!,1114,7.71,89,1275996,TV,12,Finished Airing,"Oct 4, 2012 to Dec 20, 2012",Fall 2012,"['Lantis', 'Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",Sentai Filmworks,Kyoto Animation,novel,"['Comedy', 'Romance']",School,nan,24 min. per ep.,PG-13 - Teens 13 or older,17197

Vinland Saga,44,8.73,90,1260226,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']",Sentai Filmworks,Wit Studio,Manga,"['Action', 'Adventure', 'Drama']",nan,Seinen,24 min. per ep.,R - 17+ (violence & profanity),38462

Bungou Stray Dogs,875,7.82,91,1244636,TV,12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016",Spring 2016,"['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL']",Funimation,Bones,Manga,"['Action', 'Mystery', 'Supernatural']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),23947

Made in Abyss,58,8.67,92,1241919,TV,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,"['Media Factory', 'AT-X', 'Takeshobo', 'Sony Music Communications', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Kadokawa', 'Global Solutions', 'IRMA LA DOUCE']",Sentai Filmworks,Kinema Citrus,manga,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",nan,nan,25 min. per ep.,R - 17+ (violence & profanity),40454

Owari no Seraph,1765,7.49,93,1241486,TV,12,Finished Airing,"Apr 4, 2015 to Jun 20, 2015",Spring 2015,"['Rakuonsha', 'NBCUniversal Entertainment Japan', 'Shueisha']",Funimation,Wit Studio,Manga,"['Action', 'Drama', 'Supernatural']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),13055

Spy x Family,57,8.68,94,1221943,TV,12,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha']",add some,Wit Studio,Manga,"['Action', 'Comedy']",Childcare,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,36487

Howl no Ugoku Shiro,64,8.66,95,1207845,Movie,1,Finished Airing,"Nov 20, 2004",nan,"['d-rights', 'Tokuma Shoten']",Disney Platform Distribution,Studio Ghibli,Novel,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",nan,nan,1 hr. 59 min.,G - All Ages,25621

Mahou Shoujo Madoka Magica,196,8.36,96,1206767,TV,12,Finished Airing,"Jan 7, 2011 to Apr 22, 2011",Winter 2011,"['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Nitroplus', 'Houbunsha']",Aniplex of America,Shaft,Original,"['Award Winning', 'Drama', 'Suspense']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,51434

Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,71,8.64,97,1203180,TV,12,Finished Airing,"Apr 11, 2020 to Jun 27, 2020",Spring 2020,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']",Aniplex of America,A-1 Pictures,Manga,[],nan,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,18449

Enen no Shouboutai,1118,7.71,98,1201017,TV,24,Finished Airing,"Jul 6, 2019 to Dec 28, 2019",Summer 2019,"['Mainichi Broadcasting System', 'Kodansha', 'bilibili', 'DMM pictures', 'DMM Music']",Funimation,David Production,Manga,"['Action', 'Supernatural']",nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,8525

Sakura-sou no Pet na Kanojo,467,8.09,99,1181930,TV,24,Finished Airing,"Oct 9, 2012 to Mar 26, 2013",Fall 2012,"['Frontier Works', 'Genco', 'Media Factory', 'Animax', 'Mainichi Broadcasting System', 'ASCII Media Works', 'Sony Music Communications']",Sentai Filmworks,J.C.Staff,novel,"['Drama', 'Romance']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,25961

Deadman Wonderland,3283,7.16,100,1176099,TV,12,Finished Airing,"Apr 17, 2011 to Jul 3, 2011",Spring 2011,"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC']",Funimation,Manglobe,Manga,"['Action', 'Horror', 'Sci-Fi', 'Supernatural']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),6553

Kaichou wa Maid-sama!,572,8.01,101,1176048,TV,26,Finished Airing,"Apr 2, 2010 to Sep 24, 2010",Spring 2010,"['Geneon Universal Entertainment', 'TBS', 'Hakusensha', 'Half H.P Studio']",Sentai Filmworks,J.C.Staff,Manga,"['Comedy', 'Romance']",School,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,21889

Horimiya,347,8.20,102,1170497,TV,13,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",Winter 2021,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Kanetsu Investment', 'My Theater D.D.', 'Global Solutions', 'Mirai-Kojo']",Funimation,CloverWorks,Manga,[],School,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,30130

Guilty Crown,2014,7.42,103,1160790,TV,22,Finished Airing,"Oct 14, 2011 to Mar 23, 2012",Fall 2011,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Fujipacific Music', '1IN']",Funimation,Production I.G,Original,"['Action', 'Drama', 'Sci-Fi']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),16757

Samurai Champloo,120,8.51,104,1157496,TV,26,Finished Airing,"May 20, 2004 to Mar 19, 2005",Spring 2004,"['Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG']",Funimation,Manglobe,Original,"['Action', 'Adventure', 'Comedy']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),35178

Mononoke Hime,59,8.67,105,1156493,Movie,1,Finished Airing,"Jul 12, 1997",nan,"['Tokuma Shoten', 'Nippon Television Network']",GKIDS,Studio Ghibli,Original,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",nan,nan,2 hr. 13 min.,PG-13 - Teens 13 or older,19982

Kobayashi-san Chi no Maid Dragon,600,7.98,106,1152619,TV,13,Finished Airing,"Jan 12, 2017 to Apr 6, 2017",Winter 2017,"['Lantis', 'Pony Canyon', 'ABC Animation']",Funimation,Kyoto Animation,Manga,"['Fantasy', 'Slice of Life']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,16582

Dragon Ball Z,390,8.16,107,1149140,TV,291,Finished Airing,"Apr 26, 1989 to Jan 31, 1996",Spring 1989,['Fuji TV'],Funimation,Toei Animation,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,35115

Clannad: After Story,16,8.94,108,1125566,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",Sentai Filmworks,Kyoto Animation,novel,"['Drama', 'Romance', 'Supernatural']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,68095

Kuroko no Basket,497,8.07,109,1124377,TV,25,Finished Airing,"Apr 8, 2012 to Sep 22, 2012",Spring 2012,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Mainichi Broadcasting System', 'Banpresto', 'Shueisha', 'BS11']",add some,Production I.G,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,20412

Kimetsu no Yaiba: Yuukaku-hen,27,8.82,110,1121215,TV,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,"['Aniplex', 'Shueisha']",Aniplex of America,ufotable,Manga,"['Action', 'Fantasy']",Historical,Shounen,26 min. per ep.,R - 17+ (violence & profanity),22401

Kuroshitsuji,1204,7.67,111,1113695,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,"['Aniplex', 'Square Enix', 'Yomiko Advertising', 'Mainichi Broadcasting System', 'Movic', 'Trinity Sound']",Funimation,A-1 Pictures,Manga,"['Action', 'Comedy', 'Mystery', 'Supernatural']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),21769

Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,33,8.79,112,1107373,TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Sentai Filmworks,Production I.G,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,14974

Nisekoi,1432,7.58,113,1107353,TV,20,Finished Airing,"Jan 11, 2014 to May 24, 2014",Winter 2014,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha']",Aniplex of America,Shaft,Manga,"['Comedy', 'Romance']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,10583

JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,452,8.10,114,1105820,TV,24,Finished Airing,"Apr 5, 2014 to Sep 13, 2014",Spring 2014,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']",VIZ Media,David Production,Manga,"['Action', 'Adventure', 'Drama', 'Supernatural']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),20453

Dororo,299,8.24,115,1102679,TV,24,Finished Airing,"Jan 7, 2019 to Jun 24, 2019",Winter 2019,['Twin Engine'],Sentai Filmworks,Tezuka Productions,Manga,"['Action', 'Adventure', 'Supernatural']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),18610

Kyoukai no Kanata,1056,7.73,116,1101948,TV,12,Finished Airing,"Oct 3, 2013 to Dec 19, 2013",Fall 2013,"['Lantis', 'Pony Canyon', 'TBS']",Sentai Filmworks,Kyoto Animation,novel,"['Action', 'Fantasy']",School,nan,24 min. per ep.,PG-13 - Teens 13 or older,11578

Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,801,7.86,117,1097155,TV,12,Finished Airing,"Jul 12, 2017 to Sep 27, 2017",Summer 2017,"['Studio Hibari', 'Lantis', 'Media Factory', 'AT-X', 'Sony Music Communications', 'Toranoana', 'Crunchyroll', 'Kadokawa Media House', 'AKABEiSOFT2']",Funimation,Lerche,novel,[],nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,16563

Tokyo Revengers,525,8.04,118,1088885,TV,24,Finished Airing,"Apr 11, 2021 to Sep 19, 2021",Spring 2021,"['Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'AT-X', 'Ultra Super Pictures', 'Studio Mausu', 'Sammy']",add some,LIDENFILMS,Manga,"['Action', 'Drama', 'Supernatural']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),24412

Zankyou no Terror,458,8.10,119,1086603,TV,11,Finished Airing,"Jul 11, 2014 to Sep 26, 2014",Summer 2014,"['Aniplex', 'Dentsu', 'Fuji TV', 'Tohokushinsha Film Corporation', 'Kyoraku Industrial Holdings']",Funimation,MAPPA,Original,"['Mystery', 'Suspense']",Psychological,nan,22 min. per ep.,R - 17+ (violence & profanity),21082

Tokyo Ghoul:re,7389,6.38,120,1086103,TV,12,Finished Airing,"Apr 3, 2018 to Jun 19, 2018",Spring 2018,"['Marvelous', 'TC Entertainment']",Funimation,Pierrot,Manga,"['Action', 'Fantasy', 'Horror']",nan,Seinen,24 min. per ep.,R - 17+ (violence & profanity),3699

Chainsaw Man,62,8.67,121,1085751,TV,12,Finished Airing,"Oct 12, 2022 to Dec 28, 2022",Fall 2022,['add some'],add some,MAPPA,Manga,"['Action', 'Fantasy']",Gore,Shounen,24 min. per ep.,R - 17+ (violence & profanity),35677

Mushoku Tensei: Isekai Ittara Honki Dasu,194,8.37,122,1084227,TV,11,Finished Airing,"Jan 11, 2021 to Mar 22, 2021",Winter 2021,"['Frontier Works', 'TOHO animation', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Kadokawa', 'GREE', 'Toho Music']",Funimation,Studio Bind,novel,"['Drama', 'Fantasy', 'Ecchi']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),26624

Shokugeki no Souma: Ni no Sara,461,8.10,123,1072365,TV,13,Finished Airing,"Jul 2, 2016 to Sep 24, 2016",Summer 2016,"['Dentsu', 'Lantis', 'Mainichi Broadcasting System', 'KlockWorx', 'Showgate', 'Shueisha']",Sentai Filmworks,J.C.Staff,Manga,"['Gourmet', 'Ecchi']",School,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,3040

Log Horizon,675,7.93,124,1060340,TV,25,Finished Airing,"Oct 5, 2013 to Mar 22, 2014",Fall 2013,['NHK'],Funimation,Satelight,novel,"['Action', 'Adventure', 'Fantasy']",nan,nan,25 min. per ep.,PG-13 - Teens 13 or older,10049

Ouran Koukou Host Club,385,8.16,125,1056745,TV,26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"['VAP', 'Hakusensha', 'Nippon Television Network']",Funimation,Bones,Manga,"['Comedy', 'Romance']",nan,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,32451

Nanatsu no Taizai: Imashime no Fukkatsu,1395,7.60,126,1053941,TV,24,Finished Airing,"Jan 13, 2018 to Jun 30, 2018",Winter 2018,"['Aniplex', 'Dentsu', 'Kodansha', 'Movic', 'Sammy']",add some,A-1 Pictures,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,3761

Fate/Zero 2nd Season,94,8.56,127,1051517,TV,12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012",Spring 2012,"['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes']",Aniplex of America,ufotable,novel,"['Action', 'Fantasy', 'Supernatural']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),19842

Devilman: Crybaby,1005,7.76,128,1045020,ONA,10,Finished Airing,"Jan 5, 2018",nan,"['Aniplex', 'Dynamic Planning', 'Netflix']",add some,Science SARU,Manga,"['Action', 'Avant Garde', 'Horror', 'Supernatural']",nan,Shounen,25 min. per ep.,R+ - Mild Nudity,22332

Shingeki no Kyojin: The Final Season Part 2,35,8.78,129,1043927,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprise']",add some,MAPPA,Manga,"['Action', 'Drama']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),28206

Boku no Hero Academia 5th Season,2087,7.40,130,1033132,TV,25,Finished Airing,"Mar 27, 2021 to Sep 25, 2021",Spring 2021,"['Dentsu', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Funimation,Bones,Manga,[],nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,9971

JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,124,8.50,131,1015501,TV,39,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",Spring 2016,"['Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha']",VIZ Media,David Production,Manga,"['Action', 'Adventure', 'Supernatural']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),36942

Goblin Slayer,2013,7.42,132,1014538,TV,12,Finished Airing,"Oct 7, 2018 to Dec 30, 2018",Fall 2018,"['Sony Pictures Entertainment', 'Frontier Works', 'AT-X', 'SoftBank Creative', 'Bushiroad', 'Hakuhodo DY Music & Pictures', 'Good Smile Film', 'Artist Management Office']",Funimation,White Fox,novel,"['Action', 'Adventure', 'Fantasy']",Gore,nan,23 min. per ep.,R - 17+ (violence & profanity),6753

Tonari no Kaibutsu-kun,1808,7.48,133,1012546,TV,13,Finished Airing,"Oct 2, 2012 to Dec 25, 2012",Fall 2012,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Kodansha']","NIS America, Inc.",Brain's Base,Manga,"['Comedy', 'Romance']",School,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,5935

JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,150,8.44,134,1009908,TV,24,Finished Airing,"Jan 10, 2015 to Jun 20, 2015",Winter 2015,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']",VIZ Media,David Production,Manga,"['Action', 'Adventure', 'Drama', 'Supernatural']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),19378

Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,203,8.35,135,1004890,TV,13,Finished Airing,"Jul 8, 2020 to Sep 30, 2020",Summer 2020,"['AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']",add some,White Fox,novel,"['Drama', 'Fantasy', 'Suspense']",nan,nan,27 min. per ep.,R - 17+ (violence & profanity),11093

Fate/stay night: Unlimited Blade Works,354,8.19,136,997928,TV,12,Finished Airing,"Oct 12, 2014 to Dec 28, 2014",Fall 2014,"['Aniplex', 'Notes']",Aniplex of America,ufotable,novel,"['Action', 'Fantasy', 'Supernatural']",nan,nan,28 min. per ep.,R - 17+ (violence & profanity),15704

Mahouka Koukou no Rettousei,2021,7.42,137,997786,TV,26,Finished Airing,"Apr 6, 2014 to Sep 28, 2014",Spring 2014,"['Aniplex', 'Square Enix', 'Movic', 'ASCII Media Works']",Aniplex of America,Madhouse,novel,"['Action', 'Romance', 'Sci-Fi', 'Supernatural']",School,nan,23 min. per ep.,PG-13 - Teens 13 or older,10715

Gintama,17,8.94,138,997567,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']",Sentai Filmworks,Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,56618

Saiki Kusuo no Psi-nan,161,8.42,139,996961,TV,120,Finished Airing,"Jul 4, 2016 to Dec 26, 2016",Summer 2016,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Pony Canyon', 'Nippon Columbia', 'KlockWorx', 'Asmik Ace', 'Bandai Namco Entertainment', 'Shueisha', ""Toy's Factory"", 'Dear Stage inc.']",Funimation,J.C.Staff,Manga,"['Comedy', 'Supernatural']",nan,Shounen,5 min. per ep.,PG-13 - Teens 13 or older,26662

